LOT,TEST_START_DATE,DEVICE_END_DATE_TIME,MODULE_ID,CELL_ID,PROGRAM_NAME,OPERATION,OWNER,PRODGROUP3,TIU_PERSONALITY_CARD_ID,THERMAL_HEAD_ID,DEVICE_TESTER_ID
M422G193,2024-06-25 17:02:17,2024-06-25 19:09:06,HXV201,A502,FM7PF76AXH72P30S421,6261,PROD,F7G760,F86FD10T3983,CXF86FF4262,P HXT T65723
M431F699,2024-08-10 13:34:15,2024-08-10 13:49:01,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF2747,P HXT T61187
M431G353,2024-08-10 20:26:24,2024-08-11 01:31:29,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF0153,P HXT T65416
M432F821,2024-08-11 01:33:36,2024-08-11 06:45:22,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF0153,P HXT T65416
M432G001,2024-08-11 06:39:19,2024-08-11 11:19:15,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF0153,P HXT T65416
M432F960,2024-08-11 11:08:37,2024-08-11 14:23:22,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF0153,P HXT T65416
M432F911,2024-08-11 16:44:52,2024-08-11 18:08:32,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T0700,CXSPRXCCF0153,P HXT T65416
M432G120,2024-08-11 21:42:26,2024-08-12 02:54:52,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432F649,2024-08-12 01:56:57,2024-08-12 05:25:06,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G059,2024-08-12 05:29:04,2024-08-12 09:11:43,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G079,2024-08-12 09:45:36,2024-08-12 15:40:59,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432F632,2024-08-12 15:19:50,2024-08-12 16:51:16,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G271,2024-08-12 16:36:08,2024-08-12 22:26:31,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G349,2024-08-12 22:18:08,2024-08-13 02:48:43,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G162,2024-08-13 02:46:15,2024-08-13 07:27:05,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G437,2024-08-13 07:25:01,2024-08-13 12:05:23,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G199,2024-08-13 12:00:39,2024-08-13 16:40:37,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G231,2024-08-13 16:36:50,2024-08-13 18:13:28,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G523,2024-08-13 18:09:51,2024-08-13 22:57:04,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G272,2024-08-13 22:37:31,2024-08-13 23:50:19,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G348,2024-08-13 23:06:10,2024-08-14 03:52:49,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G520,2024-08-14 03:58:03,2024-08-14 08:30:13,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G445,2024-08-14 10:32:28,2024-08-14 13:52:29,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G634,2024-08-14 13:58:44,2024-08-14 19:34:03,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G621,2024-08-14 19:31:04,2024-08-15 01:10:03,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G753,2024-08-15 00:45:14,2024-08-15 07:02:42,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G696,2024-08-15 06:27:25,2024-08-15 12:04:47,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G523Q,2024-08-15 09:05:38,2024-08-15 09:09:12,HXV201,A502,SPRSVSPE5H50A00S431,5262,,,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M431G456,2024-08-15 11:02:45,2024-08-15 16:35:24,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G849,2024-08-15 16:13:26,2024-08-15 21:33:40,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G786,2024-08-15 21:24:58,2024-08-16 01:52:39,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
M432G963,2024-08-16 01:55:56,2024-08-16 07:01:16,HXV201,A502,SPRSVSPE5H50A00S431,6262,PROD,SPRXCS,SPRXCC11T3543,CXSPRXCCF2747,P HXT T65416
